Date ,Price ,Open ,High ,Low ,Volume ,Chg% 
04-Jul-17,477.3,473.18,481.2,470.98,5.17M,1.08%
05-Jul-17,471.72,475.74,475.74,468.99,4.23M,-1.17%
06-Jul-17,469.79,468.79,474.75,468.4,3.83M,-0.41%
07-Jul-17,464.03,468.22,469.02,462.87,5.78M,-1.23%
10-Jul-17,474.77,468.79,510.41,464.97,1.70M,2.31%
11-Jul-17,483.85,474.57,490.87,474.57,11.54M,1.91%
12-Jul-17,482.36,483.65,486.9,480.58,6.28M,-0.31%
13-Jul-17,484.69,484.79,487.87,478.27,5.17M,0.48%
14-Jul-17,482.21,495.81,499.48,479.24,22.48M,-0.51%
17-Jul-17,488.17,483.68,492.11,483.18,7.70M,1.24%
18-Jul-17,488.93,489.16,498.46,486.7,8.26M,0.16%
19-Jul-17,486.08,486.88,490.45,480.75,5.89M,-0.58%
20-Jul-17,480.92,485.81,486.08,479.68,6.81M,-1.06%
21-Jul-17,486.21,482.68,487.42,481.89,5.98M,1.10%
24-Jul-17,491.39,487.89,493.1,487.45,6.13M,1.07%
25-Jul-17,493.03,491.12,495.58,489.23,7.15M,0.33%
26-Jul-17,493.13,495.14,495.58,491.32,6.87M,0.02%
27-Jul-17,481.72,494.09,498.06,479.61,12.68M,-2.31%
28-Jul-17,494.76,484.17,497.57,477.38,11.10M,2.71%
31-Jul-17,501.63,492.06,506.84,489.5,19.16M,1.39%
01-Aug-17,498.83,501.53,504.51,495.26,7.69M,-0.56%
02-Aug-17,492.78,499.05,502.4,489.73,4.26M,-1.21%
03-Aug-17,488.14,491.61,495.46,486.28,4.64M,-0.94%
04-Aug-17,488.02,490.13,490.62,484.2,5.35M,-0.02%
07-Aug-17,480.33,487.89,488.02,479.06,6.07M,-1.58%
08-Aug-17,478.14,480.45,481.32,473.78,6.00M,-0.46%
09-Aug-17,480.87,480.03,483.13,478.49,3.92M,0.57%
10-Aug-17,486.78,481.15,489.88,480.87,9.14M,1.23%
11-Aug-17,489.98,484.17,494.59,481,6.54M,0.66%
14-Aug-17,486.88,490.13,490.72,484.74,3.82M,-0.63%
16-Aug-17,483.78,487.15,489.18,480.7,6.18M,-0.64%
17-Aug-17,506.42,498.56,510.59,495.11,25.78M,4.68%
18-Aug-17,458,504.96,504.96,438.63,164.40M,-9.56%
21-Aug-17,433.27,458.38,458.38,431.59,90.41M,-5.40%
22-Aug-17,434.27,444.09,445.01,426.63,49.24M,0.23%
23-Aug-17,442.9,436.55,448.31,433.52,61.28M,1.99%
